District,Zone,Geographical Region,Development Region,Grade ,Boys/Girls ,Numbers
Doti,Seti,Hill,Far-Western,Grade 6-8,Boys,7403
Gorkha,Gandaki,Hill,Western,Grade 6,Girls,4624
Gorkha,Gandaki,Hill,Western,Grade 6,Boys,3981
Gorkha,Gandaki,Hill,Western,Grade 7,Girls,4082
Gorkha,Gandaki,Hill,Western,Grade 7,Boys,3636
Gorkha,Gandaki,Hill,Western,Grade 8,Girls,3821
Gorkha,Gandaki,Hill,Western,Grade 8,Boys,3384
Gorkha,Gandaki,Hill,Western,Grade 6-8,Girls,12527
Gorkha,Gandaki,Hill,Western,Grade 6-8,Boys,11001
Gulmi,Lumbini,Hill,Western,Grade 6,Girls,4095
Gulmi,Lumbini,Hill,Western,Grade 6,Boys,3641
Gulmi,Lumbini,Hill,Western,Grade 7,Girls,3891
Gulmi,Lumbini,Hill,Western,Grade 7,Boys,3329
Gulmi,Lumbini,Hill,Western,Grade 8,Girls,3618
Gulmi,Lumbini,Hill,Western,Grade 8,Boys,3176
Gulmi,Lumbini,Hill,Western,Grade 6-8,Girls,11604
Gulmi,Lumbini,Hill,Western,Grade 6-8,Boys,10146
Humla,Karnali,Mountain,Mid-Western,Grade 6,Girls,556
Humla,Karnali,Mountain,Mid-Western,Grade 6,Boys,665
Humla,Karnali,Mountain,Mid-Western,Grade 7,Girls,477
Humla,Karnali,Mountain,Mid-Western,Grade 7,Boys,556
Humla,Karnali,Mountain,Mid-Western,Grade 8,Girls,393
Humla,Karnali,Mountain,Mid-Western,Grade 8,Boys,513
Humla,Karnali,Mountain,Mid-Western,Grade 6-8,Girls,1426
Humla,Karnali,Mountain,Mid-Western,Grade 6-8,Boys,1734
Ilam,Mechi,Hill,Eastern,Grade 6,Girls,4018
Ilam,Mechi,Hill,Eastern,Grade 6,Boys,3510
Ilam,Mechi,Hill,Eastern,Grade 7,Girls,3590
Ilam,Mechi,Hill,Eastern,Grade 7,Boys,3308
Ilam,Mechi,Hill,Eastern,Grade 8,Girls,4445
Ilam,Mechi,Hill,Eastern,Grade 8,Boys,3659
Ilam,Mechi,Hill,Eastern,Grade 6-8,Girls,12053
Ilam,Mechi,Hill,Eastern,Grade 6-8,Boys,10477
Jajarkot,Bheri,Hill,Mid-Western,Grade 6,Girls,3340
Jajarkot,Bheri,Hill,Mid-Western,Grade 6,Boys,3243
Jajarkot,Bheri,Hill,Mid-Western,Grade 7,Girls,3078
Jajarkot,Bheri,Hill,Mid-Western,Grade 7,Boys,3083
Jajarkot,Bheri,Hill,Mid-Western,Grade 8,Girls,2748
Jajarkot,Bheri,Hill,Mid-Western,Grade 8,Boys,2985
Jajarkot,Bheri,Hill,Mid-Western,Grade 6-8,Girls,9166
Jajarkot,Bheri,Hill,Mid-Western,Grade 6-8,Boys,9311
Jhapa,Mechi,Terai,Eastern,Grade 6,Girls,9244
Jhapa,Mechi,Terai,Eastern,Grade 6,Boys,8700
Jhapa,Mechi,Terai,Eastern,Grade 7,Girls,9049
Jhapa,Mechi,Terai,Eastern,Grade 7,Boys,7989
Jhapa,Mechi,Terai,Eastern,Grade 8,Girls,9427
Jhapa,Mechi,Terai,Eastern,Grade 8,Boys,8339
Jhapa,Mechi,Terai,Eastern,Grade 6-8,Girls,27720
Jhapa,Mechi,Terai,Eastern,Grade 6-8,Boys,25028
Jumla,Karnali,Mountain,Mid-Western,Grade 6,Girls,1495
Jumla,Karnali,Mountain,Mid-Western,Grade 6,Boys,1450
Jumla,Karnali,Mountain,Mid-Western,Grade 7,Girls,1434
Jumla,Karnali,Mountain,Mid-Western,Grade 7,Boys,1343
Jumla,Karnali,Mountain,Mid-Western,Grade 8,Girls,1256
Jumla,Karnali,Mountain,Mid-Western,Grade 8,Boys,1404
Jumla,Karnali,Mountain,Mid-Western,Grade 6-8,Girls,4185
Jumla,Karnali,Mountain,Mid-Western,Grade 6-8,Boys,4197
Kailali,Seti,Terai,Far-Western,Grade 6,Girls,10915
Kailali,Seti,Terai,Far-Western,Grade 6,Boys,9358
Kailali,Seti,Terai,Far-Western,Grade 7,Girls,10497
Kailali,Seti,Terai,Far-Western,Grade 7,Boys,9355
Kailali,Seti,Terai,Far-Western,Grade 8,Girls,9419
Kailali,Seti,Terai,Far-Western,Grade 8,Boys,8410
Kailali,Seti,Terai,Far-Western,Grade 6-8,Girls,30831
Kailali,Seti,Terai,Far-Western,Grade 6-8,Boys,27123
Kalikot,Karnali,Mountain,Mid-Western,Grade 6,Girls,2574
Kalikot,Karnali,Mountain,Mid-Western,Grade 6,Boys,2317
Kalikot,Karnali,Mountain,Mid-Western,Grade 7,Girls,2061
Kalikot,Karnali,Mountain,Mid-Western,Grade 7,Boys,2121
Kalikot,Karnali,Mountain,Mid-Western,Grade 8,Girls,1924
Kalikot,Karnali,Mountain,Mid-Western,Grade 8,Boys,2167
Kalikot,Karnali,Mountain,Mid-Western,Grade 6-8,Girls,6559
Kalikot,Karnali,Mountain,Mid-Western,Grade 6-8,Boys,6605
Kanchanpur,Mahakali,Terai,Far-Western,Grade 6,Girls,6549
Kanchanpur,Mahakali,Terai,Far-Western,Grade 6,Boys,5868
Kanchanpur,Mahakali,Terai,Far-Western,Grade 7,Girls,6091
Kanchanpur,Mahakali,Terai,Far-Western,Grade 7,Boys,5666
Kanchanpur,Mahakali,Terai,Far-Western,Grade 8,Girls,5338
Kanchanpur,Mahakali,Terai,Far-Western,Grade 8,Boys,5482
Kanchanpur,Mahakali,Terai,Far-Western,Grade 6-8,Girls,17978
Kanchanpur,Mahakali,Terai,Far-Western,Grade 6-8,Boys,17016
Kapilbastu,Lumbini,Terai,Western,Grade 6,Girls,4943
Kapilbastu,Lumbini,Terai,Western,Grade 6,Boys,5613
Kapilbastu,Lumbini,Terai,Western,Grade 7,Girls,4690
Kapilbastu,Lumbini,Terai,Western,Grade 7,Boys,5191
Kapilbastu,Lumbini,Terai,Western,Grade 8,Girls,4095
Kapilbastu,Lumbini,Terai,Western,Grade 8,Boys,4980
Kapilbastu,Lumbini,Terai,Western,Grade 6-8,Girls,13728
Kapilbastu,Lumbini,Terai,Western,Grade 6-8,Boys,15784
Kaski,Gandaki,Hill,Western,Grade 6,Girls,6103
Kaski,Gandaki,Hill,Western,Grade 6,Boys,6322
Kaski,Gandaki,Hill,Western,Grade 7,Girls,6053
Kaski,Gandaki,Hill,Western,Grade 7,Boys,6137
Kaski,Gandaki,Hill,Western,Grade 8,Girls,5883
Kaski,Gandaki,Hill,Western,Grade 8,Boys,5932
Kaski,Gandaki,Hill,Western,Grade 6-8,Girls,18039
Kaski,Gandaki,Hill,Western,Grade 6-8,Boys,18391
Kathmandu,Bagmati,Hill,Central,Grade 6,Girls,15188
Kathmandu,Bagmati,Hill,Central,Grade 6,Boys,16397
Kathmandu,Bagmati,Hill,Central,Grade 7,Girls,14985
Kathmandu,Bagmati,Hill,Central,Grade 7,Boys,16083
Kathmandu,Bagmati,Hill,Central,Grade 8,Girls,15001
Kathmandu,Bagmati,Hill,Central,Grade 8,Boys,16721
Kathmandu,Bagmati,Hill,Central,Grade 6-8,Girls,45174
Kathmandu,Bagmati,Hill,Central,Grade 6-8,Boys,49201
Kavre,Bagmati,Hill,Central,Grade 6,Girls,5391
Kavre,Bagmati,Hill,Central,Grade 6,Boys,5117
Kavre,Bagmati,Hill,Central,Grade 7,Girls,5499
Kavre,Bagmati,Hill,Central,Grade 7,Boys,5196
Kavre,Bagmati,Hill,Central,Grade 8,Girls,5378
Kavre,Bagmati,Hill,Central,Grade 8,Boys,4793
Kavre,Bagmati,Hill,Central,Grade 6-8,Girls,16268
Kavre,Bagmati,Hill,Central,Grade 6-8,Boys,15106
Khotang,Sagarmatha,Hill,Eastern,Grade 6,Girls,3385
Khotang,Sagarmatha,Hill,Eastern,Grade 6,Boys,3104
Khotang,Sagarmatha,Hill,Eastern,Grade 7,Girls,3195
Khotang,Sagarmatha,Hill,Eastern,Grade 7,Boys,2967
Khotang,Sagarmatha,Hill,Eastern,Grade 8,Girls,3060
Khotang,Sagarmatha,Hill,Eastern,Grade 8,Boys,2755
Khotang,Sagarmatha,Hill,Eastern,Grade 6-8,Girls,9640
