District,Zone,Geographical Region,Development Region,Year BS,Year AD,Grade Category,Grade,Gender,Ethnicity,Number of students
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 1,Total,Dalit,8145
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 2,Girls,Dalit,2367
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 2,Boys,Dalit,2082
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 2,Total,Dalit,4449
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 3,Girls,Dalit,1754
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 3,Boys,Dalit,1680
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 3,Total,Dalit,3434
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 4,Girls,Dalit,1352
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 4,Boys,Dalit,1507
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 4,Total,Dalit,2859
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 5,Girls,Dalit,731
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 5,Boys,Dalit,920
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 5,Total,Dalit,1651
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 1,Girls,Janjati,1223
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 1,Boys,Janjati,1369
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 1,Total,Janjati,2592
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 2,Girls,Janjati,815
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 2,Boys,Janjati,719
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 2,Total,Janjati,1534
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 3,Girls,Janjati,730
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Janjati enrollment,Grade 3,Boys,Janjati,694
