District,Zone,Geographical Region,Development Region,Grade ,Girls/Boys,Number
Kalikot,Karnali,Mountain,Mid-Western,Grade 12,Boys,1234
Kalikot,Karnali,Mountain,Mid-Western,Grade 11-12,Girls,1152
Kalikot,Karnali,Mountain,Mid-Western,Grade 11-12,Boys,2464
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11,Girls,2158
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11,Boys,2136
Kanchanpur,Mahakali,Terai,Far-Western,Grade 12,Girls,1895
Kanchanpur,Mahakali,Terai,Far-Western,Grade 12,Boys,1741
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11-12,Girls,4053
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11-12,Boys,3877
Kapilbastu,Lumbini,Terai,Western,Grade 11,Girls,1352
Kapilbastu,Lumbini,Terai,Western,Grade 11,Boys,1439
Kapilbastu,Lumbini,Terai,Western,Grade 12,Girls,1333
Kapilbastu,Lumbini,Terai,Western,Grade 12,Boys,1214
Kapilbastu,Lumbini,Terai,Western,Grade 11-12,Girls,2685
Kapilbastu,Lumbini,Terai,Western,Grade 11-12,Boys,2653
Kaski,Gandaki,Hill,Western,Grade 11,Girls,4506
Kaski,Gandaki,Hill,Western,Grade 11,Boys,5031
Kaski,Gandaki,Hill,Western,Grade 12,Girls,3843
Kaski,Gandaki,Hill,Western,Grade 12,Boys,4686
Kaski,Gandaki,Hill,Western,Grade 11-12,Girls,8349
Kaski,Gandaki,Hill,Western,Grade 11-12,Boys,9717
Kathmandu,Bagmati,Hill,Central,Grade 11,Girls,6981
Kathmandu,Bagmati,Hill,Central,Grade 11,Boys,7686
Kathmandu,Bagmati,Hill,Central,Grade 12,Girls,5781
Kathmandu,Bagmati,Hill,Central,Grade 12,Boys,6611
Kathmandu,Bagmati,Hill,Central,Grade 11-12,Girls,12762
Kathmandu,Bagmati,Hill,Central,Grade 11-12,Boys,14297
Kavre,Bagmati,Hill,Central,Grade 11,Girls,2390
Kavre,Bagmati,Hill,Central,Grade 11,Boys,1783
Kavre,Bagmati,Hill,Central,Grade 12,Girls,1991
Kavre,Bagmati,Hill,Central,Grade 12,Boys,1473
Kavre,Bagmati,Hill,Central,Grade 11-12,Girls,4381
