District,Year,Total,Male,Female
Surkhet,2007,2711,2065,646
Mahottari,2008,2157,1636,521
Mahottari,2009,2157,1636,521
Mahottari,2010,2300,1559,741
Mahottari,2011,2466,1725,741
Mahottari,2007,1658,1299,359
Bhojpur,2008,1901,1444,457
Bhojpur,2009,2193,1656,537
Bhojpur,2010,2360,1731,629
Bhojpur,2011,2368,1731,637
Bhojpur,2007,1713,1352,361
Kailali,2008,5055,3316,1739
Kailali,2009,5388,3649,1739
Kailali,2010,5099,3443,1656
Kailali,2011,5116,3456,1660
Kailali,2007,4349,3192,1157
Makwanpur,2008,3660,2397,1263
Makwanpur,2009,3837,2489,1348
Makwanpur,2010,4738,2809,1929
Makwanpur,2011,4792,2839,1953
Makwanpur,2007,3061,2089,972
Siraha,2008,2383,1836,547
Siraha,2009,2383,1836,547
Siraha,2010,2715,2033,682
Siraha,2011,2797,2077,720
Siraha,2007,1988,1631,357
Salyan,2008,1683,1267,416
Salyan,2009,1702,1286,416
Salyan,2010,1749,1359,390
Salyan,2011,1833,1443,390
Salyan,2007,1703,1330,373
Parsa,2008,2358,1718,640
Parsa,2009,2358,1718,640
Parsa,2010,2757,1917,840
Parsa,2011,2757,1917,840
Parsa,2007,2094,1546,548
Lalitpur,2008,6374,3176,3198
Lalitpur,2009,6374,3176,3198
Lalitpur,2010,6331,3168,3163
Lalitpur,2011,6331,3168,3163
Lalitpur,2007,5403,2784,2619
Morang,2008,4755,3192,1563
Morang,2009,4962,3372,1590
Morang,2010,4923,3275,1648
Morang,2011,5133,3485,1648
Morang,2007,5345,3734,1611
Sarlahi,2008,2155,1621,534
Sarlahi,2009,2369,1640,729
Sarlahi,2010,2344,1595,749
Sarlahi,2011,2823,1953,870
Sarlahi,2007,1631,1280,351
Mustang,2008,395,288,107
Mustang,2009,470,305,165
Mustang,2010,449,294,155
Mustang,2011,480,325,155
Mustang,2007,330,250,80
Dang,2008,3450,2317,1133
Dang,2009,4607,3069,1538
Dang,2010,4606,3048,1558
Dang,2011,4615,3048,1567
Dang,2007,3700,2638,1062
Baglung,2008,3232,2161,1071
Baglung,2009,3729,2451,1278
Baglung,2010,4087,2545,1542
Baglung,2011,4087,2545,1542
Baglung,2007,2970,2074,896
Syangja,2008,4156,2743,1413
Syangja,2009,4716,3075,1641
Syangja,2010,5291,3357,1934
Syangja,2011,5318,3357,1961
Syangja,2007,3785,2534,1251
Rupandehi,2008,4179,2695,1484
Rupandehi,2009,5311,3352,1959
Rupandehi,2010,6098,3745,2353
Rupandehi,2011,8780,5220,3560
Rupandehi,2007,3666,2430,1236
