District ,Zone,Geographical Region,Development Region,Level,Number of Student 
Doti,Seti,Hill,Far-Western,Grade (9-10),5746
Doti,Seti,Hill,Far-Western,Grade(11-12),2472
Gorkha,Gandaki,Hill,Western,Grade (1-5),47564
Gorkha,Gandaki,Hill,Western,Grade(6-8),23528
Gorkha,Gandaki,Hill,Western,Grade (9-10),11612
Gorkha,Gandaki,Hill,Western,Grade(11-12),3395
Gulmi,Lumbini,Hill,Western,Grade (1-5),49864
Gulmi,Lumbini,Hill,Western,Grade(6-8),21750
Gulmi,Lumbini,Hill,Western,Grade (9-10),11051
Gulmi,Lumbini,Hill,Western,Grade(11-12),3829
Humla,Karnali,Mountain,Mid-Western,Grade (1-5),14376
Humla,Karnali,Mountain,Mid-Western,Grade(6-8),3160
Humla,Karnali,Mountain,Mid-Western,Grade (9-10),1425
Humla,Karnali,Mountain,Mid-Western,Grade(11-12),521
Ilam,Mechi,Hill,Eastern,Grade (1-5),41287
Ilam,Mechi,Hill,Eastern,Grade(6-8),22530
Ilam,Mechi,Hill,Eastern,Grade (9-10),9523
Ilam,Mechi,Hill,Eastern,Grade(11-12),5143
Jajarkot,Bheri,Hill,Mid-Western,Grade (1-5),60303
Jajarkot,Bheri,Hill,Mid-Western,Grade(6-8),18477
Jajarkot,Bheri,Hill,Mid-Western,Grade (9-10),8507
Jajarkot,Bheri,Hill,Mid-Western,Grade(11-12),3231
Jhapa,Mechi,Terai,Eastern,Grade (1-5),99837
Jhapa,Mechi,Terai,Eastern,Grade(6-8),52748
Jhapa,Mechi,Terai,Eastern,Grade (9-10),26049
Jhapa,Mechi,Terai,Eastern,Grade(11-12),13671
Jumla,Karnali,Mountain,Mid-Western,Grade (1-5),26752
Jumla,Karnali,Mountain,Mid-Western,Grade(6-8),8382
Jumla,Karnali,Mountain,Mid-Western,Grade (9-10),3348
Jumla,Karnali,Mountain,Mid-Western,Grade(11-12),1059
Kailali,Seti,Terai,Far-Western,Grade (1-5),131430
Kailali,Seti,Terai,Far-Western,Grade(6-8),57954
Kailali,Seti,Terai,Far-Western,Grade (9-10),29281
Kailali,Seti,Terai,Far-Western,Grade(11-12),9855
Kalikot,Karnali,Mountain,Mid-Western,Grade (1-5),35326
Kalikot,Karnali,Mountain,Mid-Western,Grade(6-8),13164
Kalikot,Karnali,Mountain,Mid-Western,Grade (9-10),6000
Kalikot,Karnali,Mountain,Mid-Western,Grade(11-12),3616
Kanchanpur,Mahakali,Terai,Far-Western,Grade (1-5),67976
Kanchanpur,Mahakali,Terai,Far-Western,Grade(6-8),34994
Kanchanpur,Mahakali,Terai,Far-Western,Grade (9-10),17435
Kanchanpur,Mahakali,Terai,Far-Western,Grade(11-12),7930
Kapilbastu,Lumbini,Terai,Western,Grade (1-5),106647
Kapilbastu,Lumbini,Terai,Western,Grade(6-8),29512
Kapilbastu,Lumbini,Terai,Western,Grade (9-10),13001
Kapilbastu,Lumbini,Terai,Western,Grade(11-12),5338
Kaski,Gandaki,Hill,Western,Grade (1-5),62808
