District,Zone,Geographical Region,Development Region,Sub Group,Number
Palpa,Lumbini,Hill,Western,Grade 9 Boys,2752
Palpa,Lumbini,Hill,Western,Grade 10 Girls,2251
Palpa,Lumbini,Hill,Western,Grade 10 Boys,2041
Palpa,Lumbini,Hill,Western,Grade 9-10 Girls,5121
Palpa,Lumbini,Hill,Western,Grade 9-10 Boys,4793
Panchthar,Mechi,Hill,Eastern,Grade 9 Girls,2680
Panchthar,Mechi,Hill,Eastern,Grade 9 Boys,2264
Panchthar,Mechi,Hill,Eastern,Grade 10 Girls,2485
Panchthar,Mechi,Hill,Eastern,Grade 10 Boys,1810
Panchthar,Mechi,Hill,Eastern,Grade 9-10 Girls,5165
Panchthar,Mechi,Hill,Eastern,Grade 9-10 Boys,4074
Parbat,Dhawalagiri,Hill,Western,Grade 9 Girls,1857
Parbat,Dhawalagiri,Hill,Western,Grade 9 Boys,1783
Parbat,Dhawalagiri,Hill,Western,Grade 10 Girls,1755
Parbat,Dhawalagiri,Hill,Western,Grade 10 Boys,1625
Parbat,Dhawalagiri,Hill,Western,Grade 9-10 Girls,3612
Parbat,Dhawalagiri,Hill,Western,Grade 9-10 Boys,3408
Parsa,Narayani,Terai,Central,Grade 9 Girls,2337
Parsa,Narayani,Terai,Central,Grade 9 Boys,3247
Parsa,Narayani,Terai,Central,Grade 10 Girls,1541
Parsa,Narayani,Terai,Central,Grade 10 Boys,2394
Parsa,Narayani,Terai,Central,Grade 9-10 Girls,3878
Parsa,Narayani,Terai,Central,Grade 9-10 Boys,5641
Pyuthan,Rapti,Hill,Mid-Western,Grade 9 Girls,1694
Pyuthan,Rapti,Hill,Mid-Western,Grade 9 Boys,1570
Pyuthan,Rapti,Hill,Mid-Western,Grade 10 Girls,1262
Pyuthan,Rapti,Hill,Mid-Western,Grade 10 Boys,1222
Pyuthan,Rapti,Hill,Mid-Western,Grade 9-10 Girls,2956
Pyuthan,Rapti,Hill,Mid-Western,Grade 9-10 Boys,2792
Ramechhap,Janakpur,Hill,Central,Grade 9 Girls,3156
